Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2019-09-01,"2,237","2,774",1.17,2,678,139,15,6,687
2019-09-02,"2,843","9,983",4.2,25,625,175,22,52,"1,353"
2019-09-03,"2,299","6,033",2.54,20,841,122,9,20,753
2019-09-04,"2,863","11,209",4.71,44,703,177,28,57,"1,445"
2019-09-05,"2,054","2,202",0.93,0,729,96,2,11,470
2019-09-06,"2,037","3,771",1.59,6,947,105,0,0,453
2019-09-07,"4,159","17,503",6.2,256,492,234,61,165,"2,969"
2019-09-08,"2,034","2,564",1.08,3,641,145,0,0,510
2019-09-09,"2,060","2,696",1.13,5,813,105,12,1,502
2019-09-10,"2,610","7,249",3.05,8,670,219,17,15,"1,167"
2019-09-11,"2,461","4,942",2.08,6,745,176,20,25,"1,007"
2019-09-12,"2,441","7,276",3.03,19,645,214,7,14,"1,015"
2019-09-13,"2,394","6,050",2.54,14,841,137,25,28,917
2019-09-14,"2,621","8,967",3.74,22,"1,198",196,13,33,"1,215"
2019-09-15,"2,666","6,086",2.56,12,"1,197",156,33,54,"1,239"
2019-09-16,"1,865",818,0.34,0,"1,010",62,0,0,205
2019-09-17,"2,142","3,158",1.33,0,775,185,0,0,638
2019-09-18,"2,390","6,702",2.82,12,843,167,15,20,903
2019-09-19,"2,328","5,444",2.29,13,846,134,14,22,855
2019-09-20,"1,625",0,0,0,"1,440",0,0,0,0
2019-09-21,"1,557",0,0,0,"1,379",0,0,0,0
